Simplified,Pinyin,English
一,yī,One
在,zài,in
有,yǒu,Have
个,gè,More
我,wǒ,I
不,bù,Do not
这,zhè,This
了,le,The
他,tā,he
也,yě,and also
就,jiù,on
人,rén,people
都,dōu,All
说,shuō,Say
而,ér,and
我们,wǒmen,we
你,nǐ,you
了,le,The
要,yào,want
会,huì,meeting
对,duì,Correct
及,jí,and
和,hé,with
与,yǔ,versus
以,yǐ,With
很,hěn,very
种,zhǒng,Kind
的,de,of
大,dà,Big
能,néng,can
着,zhe,The
她,tā,she was
那,nà,that
上,shàng,on
但,dàn,but
年,nián,year
还,hái,also
可以,kěyǐ,can
最,zuì,most
自己,zìjǐ,Own
为,wéi,for
来,lái,Come
所,suǒ,The
他们,tāmen,they
两,liǎng,Two
各,gè,each
可,kě,can
为,wéi,for
或,huò,or
好,hǎo,it is good
等,děng,Wait
又,yòu,also
将,jiāng,will
因为,yīnwèi,because
于,yū,in
由,yóu,by
从,cóng,From
更,gèng,more
被,bèi,Is
才,cái,only
已,yǐ,Already
者,zhě,By
每,měi,each
次,cì,Secondary
把,bǎ,The
三,sān,three
什么,shéme,what
问题,wèntí,problem
其,qí,its
让,ràng,yield
此,cǐ,this
做,zuò,do
再,zài,again
所以,suǒyǐ,and so
只,zhǐ,only
与,yǔ,versus
则,zé,then
台湾,táiwān,Taiwan
却,què,but
并,bìng,and
位,wèi,Place
想,xiǎng,miss you
去,qù,go with
呢,ne,It
学生,xuéshēng,student
表示,biǎoshì,Show
到,dào,To
公司,gōngsī,the company
将,jiāng,will
如果,rúguǒ,in case
社会,shèhuì,society
看,kàn,Look
小,xiǎo,small
天,tiān,day
因此,yīncǐ,therefore
新,xīn,new
但是,dànshì,but
它,tā,it
中,zhōng,in
使,shǐ,Make
工作,gōngzuò,jobs
全,quán,all
觉得,juéde,feel
使用,shǐyòng,use
这些,zhèxiē,These ones
里,lǐ,in
并,bìng,and
由于,yóuyú,due to
时候,shíhòu,time
知道,zhīdào,know
这样,zhèyàng,such
一,yī,One
认为,rènwéi,think
时间,shíjiān,time
事,shì,thing
过,guò,Live
向,xiàng,to
可能,kěnéng,may
中国,zhōngguó,China
美国,měiguó,United States
到,dào,To
和,hé,with
几,jǐ,a few
系统,xìtǒng,system
政府,zhèngfǔ,government
大家,dàjiā,everyone
国家,guójiā,country
许多,xǔduō,a lot of
生活,shēnghuó,life
跟,gēn,with
已经,yǐjīng,already
大学,dàxué,the University
研究,yánjiù,the study
因,yīn,because
本,běn,this
二,èr,two
活动,huódòng,activity
该,gāi,That
世界,shìjiè,world
应,yīng,should
四,sì,four
希望,xīwàng,hope
方式,fāngshì,the way
内,nèi,Inside
项,xiàng,item
啊,ā,what
下,xià,under
环境,huánjìng,surroundings
一些,yīxiē,some
必须,bìxū,have to
文化,wénhuà,culture
高,gāo,high
孩子,háizi,child
没有,méiyǒu,No
不能,bùnéng,Can not
如,rú,Such as
开始,kāishǐ,begin
元,yuán,yuan
不同,bùtóng,different
仍,réng,still
网路,wǎnglù,network
日本,rìběn,Japan
用,yòng,use
中心,zhōngxīn,center
来,lái,Come
对,duì,Correct
虽然,suīrán,although
重要,zhòngyào,important
地方,dìfāng,local
进行,jìnxíng,get on
关系,guānxì,relationship
市场,shìchǎng,market
太,tài,too
老师,lǎoshī,teacher
提供,tígōng,provide
